127.0.0.1 - - [20/Jul/2018:12:10:13 +0900] "GET / HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:20:55 +0900] "GET /login.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:21:02 +0900] "GET /main.do HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:25:59 +0900] "GET /main.do HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:25:59 +0900] "GET /resources/css/main.css HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:25:59 +0900] "GET /resources/css/login.css HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:25:59 +0900] "GET /resources/js/login.js HTTP/1.1" 200 5908
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:00 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:00 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 206 1429452
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:01 +0900] "GET /main.do HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:01 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:01 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:07 +0900] "GET /checkId.do?email= HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:08 +0900] "GET /checkId.do?email=t HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:09 +0900] "GET /checkId.do?email=te HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:09 +0900] "GET /checkId.do?email=tes HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:09 +0900] "GET /checkId.do?email=test HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:10 +0900] "GET /checkId.do?email=test1 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:10 +0900] "GET /checkId.do?email=test1%40 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40t HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40te HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40tes HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40test HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40test. HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40test.c HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40test.co HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:11 +0900] "GET /checkId.do?email=test1%40test.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:49 +0900] "GET /checkId.do?email=test%40test.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:49 +0900] "GET /checkId.do?email=test%40%40test.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:50 +0900] "GET /checkId.do?email=test2%40test.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:50 +0900] "GET /checkId.do?email=test3%40test.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:51 +0900] "GET /checkId.do?email=test4%40test.com HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:53 +0900] "POST /signup.do HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:55 +0900] "GET /main.do HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:55 +0900] "GET /resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:55 +0900] "GET /resources/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:55 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:56 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:26:56 +0900] "GET /resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:02 +0900] "POST /login.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:02 +0900] "GET /main.do HTTP/1.1" 200 13814
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:02 +0900] "GET /image/football.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:03 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:03 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:05 +0900] "GET /reservation.do?homeimage=https://www.arsenal.com/sites/default/files/styles/feed_crest_thumbnail/public/logos/arsenal.png?itok=gaU3837L&awayimage=/sites/default/files/styles/feed_crest_thumbnail/public/logos/parissaintgermain_0.png?itok=fbcdUh80&home=Arsenal&away=PSG&date=2018%20Sat%20Jul%2028%20-%2012:35&stadium=Singapore%20National%20Stadium HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:05 +0900] "GET /resources/css/view.css HTTP/1.1" 200 7245
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:05 +0900] "GET /resources/image/stadium.jpg HTTP/1.1" 200 276259
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:11 +0900] "POST /seatselect.do HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:28 +0900] "POST /insertseat.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:28 +0900] "GET /reservation.do?resvcheck=1&date=2018%20Sat%20Jul%2028%20-%2012:35&seat=E5,F4,F5,F6&level=N&price=20000 HTTP/1.1" 200 8636
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:28 +0900] "GET /resources/css/resvcheck.css HTTP/1.1" 200 5816
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:30 +0900] "POST /userselect.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:32 +0900] "POST /mpinsert.do HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:34 +0900] "GET /mypage.do HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:35 +0900] "GET /resources/css/mypage.css HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:41 +0900] "GET /main.do HTTP/1.1" 200 13814
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:41 +0900] "GET /image/football.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:41 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:41 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:44 +0900] "GET /reservation.do?homeimage=https://www.arsenal.com/sites/default/files/styles/feed_crest_thumbnail/public/logos/arsenal.png?itok=gaU3837L&awayimage=/sites/default/files/styles/feed_crest_thumbnail/public/logos/chelsea.png?itok=Seh-ADW2&home=Arsenal&away=Chelsea&date=2018%20Wed%20Aug%201%20-%2020:05&stadium=Aviva%20Stadium,%20Dublin HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:47 +0900] "POST /seatselect.do HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:49 +0900] "POST /insertseat.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:49 +0900] "GET /reservation.do?resvcheck=1&date=2018%20Wed%20Aug%201%20-%2020:05&seat=E10,E9,E8,E7&level=E&price=15000 HTTP/1.1" 200 8626
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:51 +0900] "POST /userselect.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:52 +0900] "POST /mpinsert.do HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:53 +0900] "GET /mypage.do HTTP/1.1" 200 8631
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:55 +0900] "GET /main.do HTTP/1.1" 200 13814
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:55 +0900] "GET /image/football.jpg HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:55 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:55 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:58 +0900] "GET /main.do?session=1 HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:58 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:27:58 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:04 +0900] "POST /login.do HTTP/1.1" 200 11
